candidate_id,email,first_name,last_name,phone
review-clean4-messy-CAND-00001,review-clean4-messy.DANIELLE.JOHNSON.0001@EXAMPLE.COM, Danielle ,Johnson,+1-messy-0000001
review-clean4-messy-CAND-00002,review-clean4-messy.joshua.walker.0002@example.com,Joshua,Walker,+1-messy-0000002
review-clean4-messy-CAND-00003,review-clean4-messy.candidate-00003@example.com,jill,rhodes,+1-messy-0000003
review-clean4-messy-CAND-00004,review-clean4-messy.patricia.miller.0004@example.com,Patricia,Miller,+1-messy-0000004
review-clean4-messy-CAND-00005,review-clean4-messy.robert.johnson.0005@example.com,robert,Johnson,+1-messy-0000005
review-clean4-messy-CAND-00006,review-clean4-messy.jeffery.wagner.0006@example.com,Jeffery,Wagner,+1-messy-0000006
review-clean4-messy-CAND-00007,review-clean4-messy.anthony.gonzalez.0007@example.com,anthony, Gonzalez ,+1-messy-0000007
review-clean4-messy-CAND-00008,review-clean4-messy.debra.gardner.0008@example.com,debra,Gardner,+1-messy-0000008
review-clean4-messy-CAND-00009,review-clean4-messy.jeffrey.lawrence.0009@example.com,jeffrey,lawrence,+1-messy-0000009
review-clean4-messy-CAND-00010,review-clean4-messy. lisa.smith.0010@example.com ,lisa,smith,+1-messy-0000010
review-clean4-messy-CAND-00011,review-clean4-messy.LINDA.WOLFE.0011@EXAMPLE.COM,linda, Wolfe ,+1-messy-0000011
review-clean4-messy-CAND-00012,review-clean4-messy.matthew.moore.0012@example.com,Matthew,Moore,+1-messy-0000012
review-clean4-messy-CAND-00013,review-clean4-messy.susan.rogers.0013@example.com,Susan,Rogers,+1-messy-0000013
review-clean4-messy-CAND-00014,review-clean4-messy.christopher.davis.0014@example.com,Christopher,Davis,+1-messy-0000014
review-clean4-messy-CAND-00015,review-clean4-messy.melanie.munoz.0015@example.com, Melanie ,Munoz,+1-messy-0000015
review-clean4-messy-CAND-00016,review-clean4-messy.lindsay.blair.0016@example.com,Lindsay,Blair,+1-messy-0000016
review-clean4-messy-CAND-00017,review-clean4-messy.amanda.dudley.0017@example.com,Amanda,Dudley,+1-messy-0000017
review-clean4-messy-CAND-00018,review-clean4-messy.nicholas.arnold.0018@example.com,Nicholas,Arnold,+1-messy-0000018
review-clean4-messy-CAND-00019,review-clean4-messy. maria.montgomery.0019@example.com ,Maria,Montgomery,+1-messy-0000019
